Date,Asterionellopsis glacialis,Chaetoceros atlanticus,Chaetoceros compressus,Chaetoceros convolutus,Climacodium sp.,Corethron criophilum,Cylindrotheca closterium,Dactyliosolen fragilissimus,Ditylum brightwellii,Eucampia zodiacus,Haslea wrarikae,Guinardia delicatula,Odontella longicruris,Pseudo-nitszchia cf. australis,Pseudo-nitszchia cf. delicatula,Skeletonema costatum,Stephanopixis turris,Thalassionema nitszchioides,Thalassiossira rotula,Thalassiossira nordenskioeldii,Thalassiossira small,Alexandrium spp.,Amylax triacantha,Ceratium fusus,Ceratium lineatum,Dinophysis acuminata,Gonyaulax spinifera,Gymnodinium simplex,Gymnodinium sp.,Gyrodinium estuariale,Gyrodinium sp.,Noctiluca scintillans,Oxytoxum oxytoxoides,Protoceratium reticulatum,Protoperidinium bipes,Protoperidinium steinii,Protoperidinium spp.,Protoperidinium spp. Photosynthetic,Scrippsiella trochoidea
11/04/2002,0,0,48748.5,0,0,0,6358.5,0,0,0,0,0,0,0,31792.5,120811.5,0,2119.5,0,601938,0,0,0,0,0,0,0,0,0,4239,0,0,0,0,0,0,0,0,0
09/05/2002,0,0,0,0,0,0,8478,82660.5,0,0,0,0,0,0,252220.5,12717,0,0,0,4239,0,0,0,0,0,0,0,0,6358.5,14836.5,0,0,4239,0,0,0,0,0,0
05/06/2002,0,0,0,0,0,0,125050.5,6358.5,0,0,38151,0,0,0,1002523.5,120811.5,0,0,0,89019,21195,0,0,0,0,0,0,6358.5,0,0,10597.5,0,0,0,0,2119.5,0,0,6358.5
10/07/2002,0,0,0,0,0,0,0,6358.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2119.5,0,52987.5,0,0,0,0,0,0,0,0,0,0,25434
07/08/2002,0,0,0,0,0,0,0,0,2119.5,0,0,0,0,0,4239,0,0,0,0,0,2119.5,0,0,0,0,0,0,0,0,6358.5,0,0,0,0,0,0,0,0,0
29/08/2002,4239,0,0,116572.5,8478,0,6358.5,0,4239,0,0,0,2119.5,0,8478,0,0,0,0,14836.5,0,4239,0,0,0,0,0,0,4239,0,0,0,0,0,0,0,0,0,0
08/10/2002,0,0,0,3391.2,0,0,1695.6,0,0,0,0,0,0,0,847.8,0,0,0,0,1695.6,0,847.8,0,0,0,0,0,847.8,0,0,3391.2,0,0,0,0,0,0,0,0
05/11/2002,0,0,0,27977.4,0,0,1695.6,0,0,0,0,0,0,847.8,847.8,16956,0,0,0,847.8,847.8,0,0,0,0,0,0,0,3391.2,2543.4,3391.2,0,0,0,0,0,0,0,0
04/12/2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847.8,0,0,0,0,0,0,0,0,0,847.8,0,847.8,0,0,0,0,0,0,0,0,0
05/02/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5086.8,0,0,0,0,0,1695.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/03/2003,0,0,0,6358.5,0,0,0,0,0,0,0,0,0,0,12717,0,0,0,0,0,14836.5,0,0,0,0,0,0,0,0,2119.5,0,0,0,0,0,0,0,0,0
19/03/2003,0,0,,0,,0,2119.5,,0,,0,0,,10597.5,40270.5,44509.5,0,8478,2119.5,23314.5,46629,0,,0,,0,0,,,0,0,,,0,,0,0,0,
02/04/2003,0,0,0,0,0,0,4239,0,0,0,0,0,0,0,245862,61465.5,0,8478,0,156843,434497.5,2119.5,0,0,0,2119.5,0,0,0,0,6358.5,0,4239,0,2119.5,0,0,0,0
09/04/2003,0,0,0,2119.5,0,0,8478,0,0,0,4239,0,0,0,243742.5,36031.5,0,8478,0,118692,235264.5,2119.5,0,0,0,0,0,0,0,0,4239,0,8478,0,0,0,0,0,2119.5
16/04/2003,0,0,0,0,0,0,8478,14836.5,6358.5,0,10597.5,0,0,10597.5,29673,1335285,0,21195,46629,235264.5,254340,0,0,0,0,0,0,0,0,4239,6358.5,0,0,0,0,0,0,0,0
23/04/2003,16956,0,38151,0,0,0,21195,14836.5,8478,0,0,0,0,82660.5,23314.5,4016452.5,0,29673,10597.5,93258,99616.5,0,0,0,0,0,0,6358.5,0,6358.5,6358.5,2119.5,0,0,0,0,6358.5,0,0
28/05/2003,52987.5,0,0,4239,0,0,61465.5,0,0,4239,21195,23314.5,0,0,0,0,0,4239,21195,14836.5,14836.5,4239,2119.5,0,0,2119.5,0,0,0,6358.5,4239,0,0,0,0,0,2119.5,0,46629
19/06/2003,0,0,0,0,0,0,19075.5,0,0,0,4239,0,0,0,0,0,0,0,2119.5,4239,0,2119.5,0,2119.5,0,4239,0,0,12717,10597.5,21195,2119.5,0,0,2119.5,0,0,2119.5,2119.5
23/06/2003,0,0,0,0,0,0,0,0,0,0,4239,0,0,0,0,0,0,0,0,2119.5,0,0,0,2119.5,0,6358.5,4239,0,12717,4239,10597.5,2119.5,0,0,0,0,0,2119.5,0
26/06/2003,0,0,0,0,0,0,2119.5,0,0,0,6358.5,0,0,0,0,0,0,0,0,0,2119.5,2119.5,0,0,0,0,0,0,0,0,50868,0,0,0,0,0,0,0,0
30/06/2003,0,0,0,0,0,0,2119.5,0,0,0,2119.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2119.5,31792.5,10597.5,0,0,0,0,0,2119.5,0,6358.5
03/07/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21195,0,0,0,0,0,0,0,0,4239,0,0,0,0,0,8478,0,0,0,0,0,0,0,0,0
14/08/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2119.5,0,0,0,0,0,0,0,0,0,4239,10597.5,0,0,0,0,0,0,0,0
10/09/2003,0,0,,0,,0,6358.5,,42390,,0,0,,0,8478,0,0,6358.5,0,40270.5,31792.5,0,,0,,0,0,,,0,0,,,0,,0,0,0,
09/10/2003,0,0,0,0,0,0,2119.5,0,0,0,0,0,0,2119.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8478,0,0,0,0,0,0,0,0
06/11/2003,0,0,0,847.8,0,0,847.8,0,0,0,0,0,0,0,0,0,0,847.8,0,0,0,0,0,0,0,0,0,3391.2,0,0,847.8,0,0,1695.6,0,0,0,0,0
10/12/2003,0,0,0,0,0,0,847.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/01/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847.8,0,0,0,0,0,0,0,0,0,1695.6,0,0,0,0,0,0,0,0,0,0,0
11/02/2004,0,0,0,0,0,847.8,847.8,0,0,0,0,0,0,0,5934.6,0,0,0,0,0,847.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2004,0,0,0,4239,0,0,0,0,0,0,0,0,0,2119.5,2119.5,0,0,8478,0,55107,91138.5,0,0,0,0,0,0,6358.5,0,6358.5,0,0,0,0,0,0,0,0,0
17/03/2004,0,0,0,12717,0,0,10597.5,0,2119.5,0,0,8478,0,6358.5,63585,2744752.5,0,211950,78421.5,409063.5,998284.5,2119.5,0,0,0,0,0,0,10597.5,4239,0,0,0,0,0,0,2119.5,0,0
24/03/2004,0,0,0,8478,0,0,4239,0,10597.5,0,0,0,0,12717,14836.5,4662900,0,42390,16956,396346.5,495963,0,0,0,0,0,0,0,4239,0,2119.5,0,0,0,0,0,0,0,0
29/03/2004,0,0,0,0,0,0,6358.5,0,6358.5,0,0,0,0,12717,10597.5,5606077.5,4239,31792.5,0,211950,606177,0,0,0,0,0,0,6358.5,0,2119.5,0,0,0,0,0,0,2119.5,0,0
07/04/2004,0,0,0,0,0,0,2119.5,0,0,0,0,0,0,0,2119.5,27553.5,0,0,0,6358.5,0,0,0,0,0,0,0,0,0,2119.5,2119.5,0,0,0,0,0,0,0,0
14/04/2004,0,0,0,2119.5,0,0,2119.5,0,0,0,0,8478,0,14836.5,19075.5,5606077.5,8478,6358.5,10597.5,40270.5,10597.5,0,0,0,0,0,0,0,6358.5,16956,0,0,6358.5,0,0,0,4239,0,0
28/04/2004,2119.5,0,0,36031.5,0,0,6358.5,0,2119.5,0,0,82660.5,0,6358.5,27553.5,375151.5,0,2119.5,55107,178038,29673,4239,2119.5,0,0,0,0,0,0,2119.5,0,0,8478,0,0,0,2119.5,0,0
06/06/2004,46629,0,0,0,0,0,67824,0,0,0,0,10597.5,0,65704.5,120811.5,38151,2119.5,6358.5,0,0,14836.5,8478,0,2119.5,2119.5,2119.5,0,0,16956,8478,6358.5,0,0,0,0,0,4239,0,27553.5
10/07/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2119.5,0,2119.5,0,8478,4239,0,0,0,0,0,0,0,0
11/08/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2119.5,0,0,6358.5,0,0,0,0,0,0,0,0,0,2119.5,0,0,0,0,0,0,0,2119.5
01/09/2004,8478,0,0,2119.5,6358.5,0,6358.5,2119.5,0,4239,0,0,0,12717,50868,2267865,0,16956,0,2119.5,6358.5,4239,0,2119.5,0,0,0,0,0,4239,0,0,0,0,0,0,0,0,0
19/10/2004,12717,0,,10597.5,,0,0,,4239,,0,0,,4239,12717,137767.5,0,12717,0,29673,0,0,,0,,0,0,,,0,0,,,0,,0,0,2119.5,
11/11/2004,0,0,0,0,0,0,6782.4,0,0,0,0,0,0,0,0,0,0,847.8,0,0,0,847.8,0,0,0,0,0,3391.2,0,0,3391.2,0,0,0,0,0,1695.6,0,0
07/12/2004,0,0,0,0,0,0,4239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2543.4,0,0,0,0,0,0,0,4239
14/01/2005,,0,,0,,0,8478,,0,,0,0,,0,0,0,0,5934.6,0,0,0,0,,0,,0,0,,,0,0,,,0,,0,0,0,
02/02/2005,0,0,0,0,0,0,1695.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/02/2005,,0,,2543.4,,0,4239,,847.8,,0,0,,0,23738.4,271296,0,1695.6,96649.2,20347.2,44933.4,,,,,0,0,,,2543.4,1695.6,,,,,0,0,,
08/03/2005,0,0,0,0,0,0,8478,0,10597.5,0,0,0,0,0,74182.5,565906.5,0,16956,69943.5,347598,659164.5,0,0,0,0,2119.5,0,0,12717,16956,16956,0,12717,0,4239,0,2119.5,0,0
22/03/2005,0,0,0,25434,2119.5,0,6358.5,0,57226.5,0,0,0,0,21195,76302,3264030,0,12717,233145,105975,69943.5,0,0,0,0,0,0,2119.5,0,0,0,0,0,0,0,0,0,0,0
07/04/2005,0,23314.5,,0,,0,8478,,10597.5,,0,0,,8478,0,915624,4239,4239,0,10597.5,48748.5,0,,0,,0,0,,,0,0,,,0,,0,0,0,
16/05/2005,125050.5,0,127170,0,0,0,129289.5,2537041.5,0,0,0,0,16956,33912,161082,0,0,0,0,0,0,0,0,0,0,0,0,19075.5,8478,10597.5,0,0,0,0,4239,0,0,0,12717
23/06/2005,0,0,0,0,0,0,6358.5,0,0,0,0,0,0,0,0,0,0,2119.5,0,0,0,2119.5,0,0,0,0,0,2119.5,0,0,0,0,0,0,0,0,0,0,0
